,Shows,Description,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,OTHER TAGS,episode 1,episode 2,episode 3,epsiode 4,episode 5,,
,Room to Live,"Imperfect tone poems. Old school and new school dance music. Explore inner worlds with David, Mike, and guests every other Thursday from 11pm to 2am. Promo tracks/booking inquiries: valleyoffreaks@gmail.com.",HOUSE,ACID,TECHNO,POST PUNK,DRUM & BASS,CHEMICAL BREAKS,http://www.newtownradio.com/show-archive/room-to-live-gateway-opening-reception-greem-fnv-51719/,http://www.newtownradio.com/show-archive/room-to-live-ep46-71119/,http://www.newtownradio.com/show-archive/room-to-live-ep48-part-i-w-salem-hilal-80819/,http://www.newtownradio.com/show-archive/room-to-live-ep49-part-i-w-lychee-live-82219/,http://www.newtownradio.com/show-archive/room-to-live-ep36-party1-w-hyphorics-10519-2/,http://www.newtownradio.com/show-archive/room-to-live-ep44-61319/,http://www.newtownradio.com/show-archive/room-to-live-ep47-part-i-w-molly-smith-72519/
,Say Magnifreeq,"Vaguely obscure soul, psych, and disco from around the world. Hosted by Daniel Collás (Phenomenal Handclap Band) ",SOUL,DISCO,GIRL GROUPS,PSYCHEDELIC,80S,INTERNATIONAL ,http://www.newtownradio.com/show-archive/say-magnifreeq-ep-10-40219/,http://www.newtownradio.com/show-archive/say-magnifreeq-ep-12-41619/,http://www.newtownradio.com/show-archive/say-magnifreeq-ep-11-40919/,http://www.newtownradio.com/show-archive/say-magnifreeq-ep-14-43019/,http://www.newtownradio.com/show-archive/say-magnifreeq-ep-19-62519/,,
,Scumdays,"An eclectic blend of tunes from metal to soul and everything in between, guaranteed to put a little bump to your humpday blues",INDIE ROCK,PSYCHEDELIC,70S,SOUL,OLDIES,,http://www.newtownradio.com/show-archive/scumdays-ep-61-featuring-quick-study-52919/,http://www.newtownradio.com/show-archive/scumdays-ep-71-81419/,http://www.newtownradio.com/show-archive/scumdays-ep-29-82218/ ,http://www.newtownradio.com/show-archive/scumdays-ep-45-11619/,http://www.newtownradio.com/show-archive/scumdays-ep-51-30619/,,
,Searching for Stevia Daddy,Thirsty Brooklyn babes searching for great dick and even better music. Parental advisory - explicit content,HIP HOP,GANGSTA RAP,FUNNY TALK,CLASSIC HIP-HOP,,,,,,,,,
,Shoo Fee Ma Fee,"Join Lebanese radio host Rosalynn on her sonic escapades to the Middle East as she explores the contemporary sounds of Lebanon, Syria, Palestine, Iraq, Jordan, Egypt, Tunisia, Algeria, Morocco, Oman, Sudan, Yemen, Iran, Turkey, UAE, and Saudi Arabia. ",MIDDLE EASTERN,DUBSTEP,JAZZ,REGGAE,SOUL,"ARABIC, TRIP-HOP, OUD, ELECTRONIC, ROCK.",,,,,,,
,Spectacle Radio,"Film scores and soundtracks from Spectacle, the collectively-run, Brooklyn-based microcinema devoted to rare, radical and under-appreciated films.",PSYCHEDELIC,ELECTRONIC,ART/CINEMA TALK,AMBIENT,POST PUNK,"FILM SCORE, SOUNDTRACK",http://www.newtownradio.com/show-archive/spectacle-radio-ep-7-10718/,http://www.newtownradio.com/show-archive/spectacle-radio-ep-8-12118/,http://www.newtownradio.com/show-archive/spectacle-radio-ep-26-10619/,http://www.newtownradio.com/show-archive/spectacle-radio-ep-32-33119/,http://www.newtownradio.com/show-archive/spectacle-radio-ep-40-80419/,,
,Strange Brew Radio,"Strange Brew Radio features the sounds of UK electronica from Autechre to Zomby, Artful Dodger to Zinc, and everything in between and around the seams. Special guests and open decks, we got time for anyone to flex",DUBSTEP,GRIME,JUNGLE,FOOTWORK,CLASSIC HIP-HOP,"UK Garage, Trap, Punk, IDM, Experimental",http://www.newtownradio.com/show-archive/strange-brew-radio-featuring-lady-banton-80419/,http://www.newtownradio.com/show-archive/strange-brew-radio-72819/,http://www.newtownradio.com/show-archive/strange-brew-radio-featuring-mark-ak-70618/,http://www.newtownradio.com/show-archive/strange-brew-radio-11218/,http://www.newtownradio.com/show-archive/strange-brew-radio-w-jergo-70717/,,
,Sunday School,"Dance music with a dark leaning edge. Join the bi-weekly ritual of hosts Monae, Lani and special guests, as they sense and construct eclectic dance mixes, mainly spinning electro, ebm, house, techno.  ",ELECTRONIC,INDUSTRIAL,NOISE,TECHNO,ELECTRO,"Deep House, Leftfield, World",https://www.newtownradio.com/show-archive/sunday-school-ep-8-11819/,https://www.newtownradio.com/show-archive/sunday-school-ep-15-52619/,https://www.newtownradio.com/show-archive/sunday-school-ep-19-90119/,https://www.newtownradio.com/show-archive/sunday-school-ep-21-101319/,https://www.newtownradio.com/show-archive/sunday-school-ep-22-102719/,,
,Tesla Effect,"The Tesla Effect is a venue for audio storytellers and sound artists, an opportunity to build, to experiment, to explore with sound and narrative. We seek to create distinct inhabitable worlds, to hear voices, and to conjure ghosts.",AMBIENT,EXPERIMENTAL,NOISE,DRONE,PSYCHEDELIC,,http://www.newtownradio.com/show-archive/tesla-effect-82519/,http://www.newtownradio.com/show-archive/tesla-effect-81819/,http://www.newtownradio.com/show-archive/tesla-effect-81119/,http://www.newtownradio.com/show-archive/tesla-effect-72119/,http://www.newtownradio.com/show-archive/tesla-effect-63019/,,
,The Baffler Presents: The Bad Society,"Join host Zachariah Webb as we cruise the diseased marsh of American life, providing biting analysis and spinning ace tunes—brought to you by the nation's leading purveyor of indignant political criticism and cultural analysis, The Baffler.",ISSUES TALK,SYNTH POP,NEW WAVE,EXPERIMENTAL,AMBIENT,POLITICS & CULTURE,http://www.newtownradio.com/show-archive/the-baffler-presents-the-bad-society-ep-21-w-pinko-120519/,http://www.newtownradio.com/show-archive/the-baffler-presents-the-bad-society-ep-20-w-jasper-craven-112119/,http://www.newtownradio.com/show-archive/the-baffler-presents-the-bad-society-ep-19-w-kristen-martin-110719/,http://www.newtownradio.com/show-archive/the-baffler-presents-the-bad-society-ep-18-w-maia-hibbett-102419/,http://www.newtownradio.com/show-archive/the-baffler-presents-the-bad-society-ep-17-w-jacob-silverman-101019/,,
,The Den,"One Good Thing About Reggae Music When It Hits You, You Feel No Pain - Join Capt Sir Miles High As We Sail The Caribbean, Playing Good Vibes To Get Your Body Moving. Tune In For Your Dose Of Caribbean World Music +",DANCEHALL,CARIBBEAN,LOVERS ROCK,REGGAE,SOCA,Caribbean World Music,,,,,,,
,The DJ Kenny B Experience,"Old school hip hop and R&B with NY DJ legend, Kenny B and special guests from the scene",HIP HOP,80S,CLASSIC HIP-HOP,R&B,,,,,,,,,
,The Sky Report Radio,"Curated by Scot Bowman of The Sky Report, featuring the latest excursions in dream pop, indie dance, ambient and dreamwave, with a smattering of nostalgic throwbacks to 90’s trip-hop/electronic, post punk and new wave.",DREAMPOP,INDIE POP,NEW WAVE,AMBIENT,INDIE DANCE,,http://www.newtownradio.com/show-archive/the-sky-report-81919/,http://www.newtownradio.com/show-archive/the-sky-report-62419/,http://www.newtownradio.com/show-archive/the-sky-report-61019/,http://www.newtownradio.com/show-archive/the-sky-report-61019/,http://www.newtownradio.com/show-archive/the-sky-report-42919/,,
,THRESHOLD_,"Threshold_ is a weekly investigation of liminality, the disorientating ambiguity between extremes, to transition between mind states through varied forms and genres of soun",ELECTRONIC,Local,Techno,House ,Instrumental,"Rock, Ambient, Dub, Hip Hop",,,,,,,
,Unistrut Radio,"Ambient moods, disco methods, house business, techno mechanics. Unistrut Radio, presented by Mekko DJ and ALFM. Alternating Mondays 11pm-1am.",AMBIENT,TECHNO,DISCO,HOUSE,EXPERIMENTAL,,http://www.newtownradio.com/show-archive/unistrut-radio-ep-6-ike-release-guest-mix-31219/,http://www.newtownradio.com/show-archive/unistrut-radio-ep-5-13th-hour-recs-gues-mix-30519/,http://www.newtownradio.com/show-archive/unistrut-radio-ep-11-felt-presence-open-studio-51119/,http://www.newtownradio.com/show-archive/unistrut-radio-ep-14-61719/,http://www.newtownradio.com/show-archive/unistrut-radio-ep-17-82619/,,
